phoenix-srun: Job 5897 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

[2022-07-31 14:55:55,014][    INFO] {'backbone': 'resnet101',
 'batch_size': 2,
 'conf_thresh': 0.95,
 'criterion': {'kwargs': {'ignore_index': 255}, 'name': 'CELoss'},
 'crop_size': 321,
 'data_root': '/hided/for/anonymity',
 'dataset': 'pascal',
 'dilations': [6, 12, 18],
 'epochs': 80,
 'lr': 0.001,
 'lr_multi': 10.0,
 'multi_grid': False,
 'nclass': 21,
 'replace_stride_with_dilation': [False, False, True]}

[2022-07-31 14:55:56,430][    INFO] Total params: 59.5M

[2022-07-31 14:56:01,798][    INFO] ===========> Epoch: 0, LR: 0.0010, Previous best: 0.00
[2022-07-31 14:56:11,690][    INFO] Iters: 0, Total loss: 1.562, Loss x: 3.124, Loss s: 0.000, Loss w_fp: 0.000, Mask: 0.000
[2022-07-31 14:57:56,020][    INFO] Iters: 155, Total loss: 0.504, Loss x: 0.971, Loss s: 0.045, Loss w_fp: 0.028, Mask: 0.284
[2022-07-31 14:59:40,245][    INFO] Iters: 310, Total loss: 0.399, Loss x: 0.760, Loss s: 0.054, Loss w_fp: 0.022, Mask: 0.342
[2022-07-31 15:01:26,723][    INFO] Iters: 465, Total loss: 0.350, Loss x: 0.656, Loss s: 0.067, Loss w_fp: 0.021, Mask: 0.385
[2022-07-31 15:03:14,816][    INFO] Iters: 620, Total loss: 0.311, Loss x: 0.576, Loss s: 0.071, Loss w_fp: 0.020, Mask: 0.426
[2022-07-31 15:05:01,951][    INFO] Iters: 775, Total loss: 0.291, Loss x: 0.535, Loss s: 0.075, Loss w_fp: 0.019, Mask: 0.448
[2022-07-31 15:06:46,666][    INFO] Iters: 930, Total loss: 0.275, Loss x: 0.503, Loss s: 0.077, Loss w_fp: 0.019, Mask: 0.464
[2022-07-31 15:08:29,604][    INFO] Iters: 1085, Total loss: 0.261, Loss x: 0.472, Loss s: 0.083, Loss w_fp: 0.019, Mask: 0.479
[2022-07-31 15:13:09,999][    INFO] ***** Evaluation ***** >>>> Class [0 background] IoU: 90.63
[2022-07-31 15:13:09,999][    INFO] ***** Evaluation ***** >>>> Class [1 aeroplane] IoU: 72.19
[2022-07-31 15:13:09,999][    INFO] ***** Evaluation ***** >>>> Class [2 bicycle] IoU: 38.71
[2022-07-31 15:13:09,999][    INFO] ***** Evaluation ***** >>>> Class [3 bird] IoU: 74.26
