phoenix-srun: Job 5901 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

[2022-07-31 14:58:34,105][    INFO] {'backbone': 'resnet101',
 'batch_size': 2,
 'conf_thresh': 0.95,
 'criterion': {'kwargs': {'ignore_index': 255}, 'name': 'CELoss'},
 'crop_size': 321,
 'data_root': '/hided/for/anonymity',
 'dataset': 'pascal',
 'dilations': [6, 12, 18],
 'epochs': 80,
 'lr': 0.001,
 'lr_multi': 10.0,
 'multi_grid': False,
 'nclass': 21,
 'replace_stride_with_dilation': [False, False, True]}

[2022-07-31 14:58:35,427][    INFO] Total params: 59.5M

[2022-07-31 14:58:40,813][    INFO] ===========> Epoch: 0, LR: 0.0010, Previous best: 0.00
[2022-07-31 14:58:50,892][    INFO] Iters: 0, Total loss: 1.581, Loss x: 3.162, Loss s: 0.000, Loss w_fp: 0.000, Mask: 0.000
[2022-07-31 15:00:27,603][    INFO] Iters: 144, Total loss: 0.515, Loss x: 0.996, Loss s: 0.041, Loss w_fp: 0.028, Mask: 0.268
[2022-07-31 15:02:03,783][    INFO] Iters: 288, Total loss: 0.425, Loss x: 0.817, Loss s: 0.048, Loss w_fp: 0.020, Mask: 0.336
[2022-07-31 15:03:39,872][    INFO] Iters: 432, Total loss: 0.371, Loss x: 0.703, Loss s: 0.061, Loss w_fp: 0.017, Mask: 0.370
[2022-07-31 15:05:16,642][    INFO] Iters: 576, Total loss: 0.349, Loss x: 0.654, Loss s: 0.072, Loss w_fp: 0.017, Mask: 0.401
[2022-07-31 15:06:52,235][    INFO] Iters: 720, Total loss: 0.326, Loss x: 0.606, Loss s: 0.077, Loss w_fp: 0.017, Mask: 0.416
[2022-07-31 15:08:29,056][    INFO] Iters: 864, Total loss: 0.308, Loss x: 0.568, Loss s: 0.080, Loss w_fp: 0.017, Mask: 0.435
[2022-07-31 15:10:05,848][    INFO] Iters: 1008, Total loss: 0.293, Loss x: 0.537, Loss s: 0.081, Loss w_fp: 0.016, Mask: 0.453
[2022-07-31 15:11:41,511][    INFO] Iters: 1152, Total loss: 0.282, Loss x: 0.516, Loss s: 0.081, Loss w_fp: 0.016, Mask: 0.466
[2022-07-31 15:14:49,554][    INFO] ***** Evaluation ***** >>>> Class [0 background] IoU: 90.16
[2022-07-31 15:14:49,554][    INFO] ***** Evaluation ***** >>>> Class [1 aeroplane] IoU: 72.94
