phoenix-srun: Job 5905 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

[2022-07-31 15:05:02,670][    INFO] {'backbone': 'resnet101',
 'batch_size': 2,
 'conf_thresh': 0.95,
 'criterion': {'kwargs': {'ignore_index': 255}, 'name': 'CELoss'},
 'crop_size': 321,
 'data_root': '/hided/for/anonymity',
 'dataset': 'pascal',
 'dilations': [6, 12, 18],
 'epochs': 80,
 'lr': 0.001,
 'lr_multi': 10.0,
 'multi_grid': False,
 'nclass': 21,
 'replace_stride_with_dilation': [False, False, True]}

[2022-07-31 15:05:03,765][    INFO] Total params: 59.5M

[2022-07-31 15:05:09,460][    INFO] ===========> Epoch: 0, LR: 0.0010, Previous best: 0.00
[2022-07-31 15:05:19,376][    INFO] Iters: 0, Total loss: 1.483, Loss x: 2.966, Loss s: 0.000, Loss w_fp: 0.000, Mask: 0.000
[2022-07-31 15:07:03,167][    INFO] Iters: 155, Total loss: 0.486, Loss x: 0.936, Loss s: 0.048, Loss w_fp: 0.027, Mask: 0.324
[2022-07-31 15:08:47,180][    INFO] Iters: 310, Total loss: 0.389, Loss x: 0.739, Loss s: 0.059, Loss w_fp: 0.021, Mask: 0.368
[2022-07-31 15:10:31,470][    INFO] Iters: 465, Total loss: 0.338, Loss x: 0.633, Loss s: 0.064, Loss w_fp: 0.020, Mask: 0.396
[2022-07-31 15:12:15,687][    INFO] Iters: 620, Total loss: 0.306, Loss x: 0.568, Loss s: 0.070, Loss w_fp: 0.019, Mask: 0.424
[2022-07-31 15:13:59,493][    INFO] Iters: 775, Total loss: 0.284, Loss x: 0.522, Loss s: 0.073, Loss w_fp: 0.018, Mask: 0.442
[2022-07-31 15:15:43,399][    INFO] Iters: 930, Total loss: 0.267, Loss x: 0.486, Loss s: 0.076, Loss w_fp: 0.018, Mask: 0.466
[2022-07-31 15:17:27,529][    INFO] Iters: 1085, Total loss: 0.252, Loss x: 0.454, Loss s: 0.084, Loss w_fp: 0.018, Mask: 0.480
[2022-07-31 15:22:07,709][    INFO] ***** Evaluation ***** >>>> Class [0 background] IoU: 90.41
[2022-07-31 15:22:07,709][    INFO] ***** Evaluation ***** >>>> Class [1 aeroplane] IoU: 74.60
[2022-07-31 15:22:07,709][    INFO] ***** Evaluation ***** >>>> Class [2 bicycle] IoU: 37.01
[2022-07-31 15:22:07,709][    INFO] ***** Evaluation ***** >>>> Class [3 bird] IoU: 76.12
