phoenix-srun: Job 5774 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

[2022-07-30 01:42:13,636][    INFO] {'backbone': 'resnet101',
 'batch_size': 2,
 'conf_thresh': 0.95,
 'criterion': {'kwargs': {'ignore_index': 255}, 'name': 'CELoss'},
 'crop_size': 321,
 'data_root': '/hided/for/anonymity',
 'dataset': 'pascal',
 'dilations': [6, 12, 18],
 'epochs': 80,
 'lr': 0.001,
 'lr_multi': 10.0,
 'multi_grid': False,
 'nclass': 21,
 'replace_stride_with_dilation': [False, False, True]}

[2022-07-30 01:42:15,143][    INFO] Total params: 59.5M

[2022-07-30 01:42:24,234][    INFO] ===========> Epoch: 0, LR: 0.0010, Previous best: 0.00
[2022-07-30 01:42:33,968][    INFO] Iters: 0, Total loss: 1.534, Loss x: 3.068, Loss s: 0.000, Loss w_fp: 0.000, Mask: 0.000
[2022-07-30 01:44:22,405][    INFO] Iters: 162, Total loss: 0.456, Loss x: 0.875, Loss s: 0.049, Loss w_fp: 0.026, Mask: 0.348
[2022-07-30 01:46:10,581][    INFO] Iters: 324, Total loss: 0.319, Loss x: 0.593, Loss s: 0.067, Loss w_fp: 0.022, Mask: 0.405
[2022-07-30 01:47:59,375][    INFO] Iters: 486, Total loss: 0.263, Loss x: 0.469, Loss s: 0.086, Loss w_fp: 0.025, Mask: 0.465
[2022-07-30 01:49:47,362][    INFO] Iters: 648, Total loss: 0.230, Loss x: 0.401, Loss s: 0.094, Loss w_fp: 0.025, Mask: 0.501
[2022-07-30 01:51:35,974][    INFO] Iters: 810, Total loss: 0.209, Loss x: 0.355, Loss s: 0.100, Loss w_fp: 0.025, Mask: 0.526
[2022-07-30 01:53:25,076][    INFO] Iters: 972, Total loss: 0.192, Loss x: 0.322, Loss s: 0.101, Loss w_fp: 0.025, Mask: 0.552
[2022-07-30 01:55:14,627][    INFO] Iters: 1134, Total loss: 0.180, Loss x: 0.296, Loss s: 0.105, Loss w_fp: 0.025, Mask: 0.568
[2022-07-30 01:57:02,720][    INFO] Iters: 1296, Total loss: 0.170, Loss x: 0.272, Loss s: 0.110, Loss w_fp: 0.025, Mask: 0.579
[2022-07-30 02:00:24,976][    INFO] ***** Evaluation ***** >>>> Class [0 background] IoU: 90.55
[2022-07-30 02:00:24,976][    INFO] ***** Evaluation ***** >>>> Class [1 aeroplane] IoU: 74.06
