phoenix-srun: Job 5484 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

[2022-07-29 11:49:41,126][    INFO] {'backbone': 'resnet101',
 'batch_size': 2,
 'conf_thresh': 0.95,
 'criterion': {'kwargs': {'ignore_index': 255}, 'name': 'CELoss'},
 'crop_size': 321,
 'data_root': '/hided/for/anonymity',
 'dataset': 'pascal',
 'dilations': [6, 12, 18],
 'epochs': 80,
 'lr': 0.001,
 'lr_multi': 10.0,
 'multi_grid': False,
 'nclass': 21,
 'replace_stride_with_dilation': [False, False, True]}

[2022-07-29 11:49:42,171][    INFO] Total params: 59.5M

[2022-07-29 11:49:47,711][    INFO] ===========> Epoch: 0, LR: 0.0010, Previous best: 0.00
[2022-07-29 11:49:57,423][    INFO] Iters: 0, Total loss: 1.580, Loss x: 3.160, Loss s: 0.000, Loss w_fp: 0.000, Mask: 0.000
[2022-07-29 11:51:39,815][    INFO] Iters: 153, Total loss: 0.475, Loss x: 0.915, Loss s: 0.043, Loss w_fp: 0.028, Mask: 0.304
[2022-07-29 11:53:21,706][    INFO] Iters: 306, Total loss: 0.388, Loss x: 0.738, Loss s: 0.056, Loss w_fp: 0.022, Mask: 0.386
[2022-07-29 11:55:03,389][    INFO] Iters: 459, Total loss: 0.331, Loss x: 0.618, Loss s: 0.068, Loss w_fp: 0.021, Mask: 0.429
[2022-07-29 11:56:46,163][    INFO] Iters: 612, Total loss: 0.296, Loss x: 0.543, Loss s: 0.076, Loss w_fp: 0.022, Mask: 0.467
[2022-07-29 11:58:30,024][    INFO] Iters: 765, Total loss: 0.272, Loss x: 0.492, Loss s: 0.083, Loss w_fp: 0.021, Mask: 0.497
[2022-07-29 12:00:14,565][    INFO] Iters: 918, Total loss: 0.252, Loss x: 0.450, Loss s: 0.087, Loss w_fp: 0.021, Mask: 0.518
[2022-07-29 12:01:55,957][    INFO] Iters: 1071, Total loss: 0.238, Loss x: 0.419, Loss s: 0.092, Loss w_fp: 0.021, Mask: 0.531
[2022-07-29 12:03:36,796][    INFO] Iters: 1224, Total loss: 0.225, Loss x: 0.392, Loss s: 0.093, Loss w_fp: 0.020, Mask: 0.549
[2022-07-29 12:06:36,565][    INFO] ***** Evaluation ***** >>>> Class [0 background] IoU: 90.98
[2022-07-29 12:06:36,565][    INFO] ***** Evaluation ***** >>>> Class [1 aeroplane] IoU: 78.48
