phoenix-srun: Job 5835 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

[2022-07-30 17:50:33,984][    INFO] {'backbone': 'resnet101',
 'batch_size': 2,
 'conf_thresh': 0.95,
 'criterion': {'kwargs': {'ignore_index': 255}, 'name': 'CELoss'},
 'crop_size': 321,
 'data_root': '/hided/for/anonymity',
 'dataset': 'pascal',
 'dilations': [6, 12, 18],
 'epochs': 80,
 'lr': 0.001,
 'lr_multi': 10.0,
 'multi_grid': False,
 'nclass': 21,
 'replace_stride_with_dilation': [False, False, True]}

[2022-07-30 17:50:35,259][    INFO] Total params: 59.5M

[2022-07-30 17:50:40,347][    INFO] ===========> Epoch: 0, LR: 0.0010, Previous best: 0.00
[2022-07-30 17:50:49,333][    INFO] Iters: 0, Total loss: 1.522, Loss x: 3.044, Loss s: 0.000, Loss w_fp: 0.000, Mask: 0.000
[2022-07-30 17:52:34,619][    INFO] Iters: 162, Total loss: 0.404, Loss x: 0.768, Loss s: 0.053, Loss w_fp: 0.029, Mask: 0.329
[2022-07-30 17:54:20,645][    INFO] Iters: 324, Total loss: 0.291, Loss x: 0.533, Loss s: 0.068, Loss w_fp: 0.028, Mask: 0.412
[2022-07-30 17:56:07,168][    INFO] Iters: 486, Total loss: 0.242, Loss x: 0.428, Loss s: 0.085, Loss w_fp: 0.028, Mask: 0.468
[2022-07-30 17:57:54,012][    INFO] Iters: 648, Total loss: 0.218, Loss x: 0.374, Loss s: 0.100, Loss w_fp: 0.026, Mask: 0.505
[2022-07-30 17:59:39,999][    INFO] Iters: 810, Total loss: 0.199, Loss x: 0.331, Loss s: 0.107, Loss w_fp: 0.027, Mask: 0.529
[2022-07-30 18:01:25,919][    INFO] Iters: 972, Total loss: 0.184, Loss x: 0.300, Loss s: 0.110, Loss w_fp: 0.026, Mask: 0.557
[2022-07-30 18:03:11,802][    INFO] Iters: 1134, Total loss: 0.171, Loss x: 0.273, Loss s: 0.112, Loss w_fp: 0.026, Mask: 0.574
[2022-07-30 18:04:58,031][    INFO] Iters: 1296, Total loss: 0.162, Loss x: 0.252, Loss s: 0.116, Loss w_fp: 0.027, Mask: 0.587
[2022-07-30 18:07:42,653][    INFO] ***** Evaluation ***** >>>> Class [0 background] IoU: 90.33
[2022-07-30 18:07:42,653][    INFO] ***** Evaluation ***** >>>> Class [1 aeroplane] IoU: 75.06
