phoenix-srun: Job 5834 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

[2022-07-30 17:50:05,354][    INFO] {'backbone': 'resnet101',
 'batch_size': 2,
 'conf_thresh': 0.95,
 'criterion': {'kwargs': {'ignore_index': 255}, 'name': 'CELoss'},
 'crop_size': 321,
 'data_root': '/hided/for/anonymity',
 'dataset': 'pascal',
 'dilations': [6, 12, 18],
 'epochs': 80,
 'lr': 0.001,
 'lr_multi': 10.0,
 'multi_grid': False,
 'nclass': 21,
 'replace_stride_with_dilation': [False, False, True]}

[2022-07-30 17:50:06,648][    INFO] Total params: 59.5M

[2022-07-30 17:50:11,648][    INFO] ===========> Epoch: 0, LR: 0.0010, Previous best: 0.00
[2022-07-30 17:50:21,403][    INFO] Iters: 0, Total loss: 1.460, Loss x: 2.920, Loss s: 0.000, Loss w_fp: 0.000, Mask: 0.000
[2022-07-30 17:52:09,208][    INFO] Iters: 162, Total loss: 0.435, Loss x: 0.832, Loss s: 0.051, Loss w_fp: 0.026, Mask: 0.341
[2022-07-30 17:53:56,778][    INFO] Iters: 324, Total loss: 0.310, Loss x: 0.566, Loss s: 0.081, Loss w_fp: 0.025, Mask: 0.433
[2022-07-30 17:55:45,156][    INFO] Iters: 486, Total loss: 0.255, Loss x: 0.453, Loss s: 0.088, Loss w_fp: 0.025, Mask: 0.477
[2022-07-30 17:57:32,509][    INFO] Iters: 648, Total loss: 0.225, Loss x: 0.391, Loss s: 0.093, Loss w_fp: 0.025, Mask: 0.507
[2022-07-30 17:59:19,613][    INFO] Iters: 810, Total loss: 0.207, Loss x: 0.349, Loss s: 0.102, Loss w_fp: 0.026, Mask: 0.529
[2022-07-30 18:01:07,383][    INFO] Iters: 972, Total loss: 0.190, Loss x: 0.315, Loss s: 0.103, Loss w_fp: 0.026, Mask: 0.557
[2022-07-30 18:02:55,258][    INFO] Iters: 1134, Total loss: 0.177, Loss x: 0.288, Loss s: 0.105, Loss w_fp: 0.026, Mask: 0.574
[2022-07-30 18:04:42,726][    INFO] Iters: 1296, Total loss: 0.166, Loss x: 0.264, Loss s: 0.111, Loss w_fp: 0.026, Mask: 0.586
[2022-07-30 18:07:59,994][    INFO] ***** Evaluation ***** >>>> Class [0 background] IoU: 90.75
[2022-07-30 18:07:59,994][    INFO] ***** Evaluation ***** >>>> Class [1 aeroplane] IoU: 73.05
