phoenix-srun: Job 5488 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

[2022-07-29 11:51:32,471][    INFO] {'backbone': 'resnet101',
 'batch_size': 2,
 'conf_thresh': 0.95,
 'criterion': {'kwargs': {'ignore_index': 255}, 'name': 'CELoss'},
 'crop_size': 321,
 'data_root': '/hided/for/anonymity',
 'dataset': 'pascal',
 'dilations': [6, 12, 18],
 'epochs': 80,
 'lr': 0.001,
 'lr_multi': 10.0,
 'multi_grid': False,
 'nclass': 21,
 'replace_stride_with_dilation': [False, False, True]}

[2022-07-29 11:51:33,999][    INFO] Total params: 59.5M

[2022-07-29 11:51:38,845][    INFO] ===========> Epoch: 0, LR: 0.0010, Previous best: 0.00
[2022-07-29 11:51:48,602][    INFO] Iters: 0, Total loss: 1.530, Loss x: 3.061, Loss s: 0.000, Loss w_fp: 0.000, Mask: 0.000
[2022-07-29 11:53:38,864][    INFO] Iters: 159, Total loss: 0.479, Loss x: 0.921, Loss s: 0.052, Loss w_fp: 0.024, Mask: 0.306
[2022-07-29 11:55:31,710][    INFO] Iters: 318, Total loss: 0.351, Loss x: 0.653, Loss s: 0.076, Loss w_fp: 0.023, Mask: 0.409
[2022-07-29 11:57:26,202][    INFO] Iters: 477, Total loss: 0.294, Loss x: 0.529, Loss s: 0.093, Loss w_fp: 0.024, Mask: 0.458
[2022-07-29 11:59:20,777][    INFO] Iters: 636, Total loss: 0.261, Loss x: 0.460, Loss s: 0.101, Loss w_fp: 0.025, Mask: 0.499
[2022-07-29 12:01:16,143][    INFO] Iters: 795, Total loss: 0.234, Loss x: 0.402, Loss s: 0.110, Loss w_fp: 0.024, Mask: 0.523
[2022-07-29 12:03:10,402][    INFO] Iters: 954, Total loss: 0.216, Loss x: 0.364, Loss s: 0.112, Loss w_fp: 0.025, Mask: 0.541
[2022-07-29 12:05:04,850][    INFO] Iters: 1113, Total loss: 0.201, Loss x: 0.334, Loss s: 0.112, Loss w_fp: 0.024, Mask: 0.560
[2022-07-29 12:06:59,521][    INFO] Iters: 1272, Total loss: 0.191, Loss x: 0.312, Loss s: 0.114, Loss w_fp: 0.024, Mask: 0.575
[2022-07-29 12:09:50,165][    INFO] ***** Evaluation ***** >>>> Class [0 background] IoU: 90.49
[2022-07-29 12:09:50,165][    INFO] ***** Evaluation ***** >>>> Class [1 aeroplane] IoU: 76.42
